label,value,exp_grp,treatment
0.250uM STA,244.48099555598893,20190703-sta-titration,Chemical Titration
0.250uM STA,246.92690278355144,20190703-sta-titration,Chemical Titration
0.250uM STA,197.66935814342256,20190703-sta-titration,Chemical Titration
0.250uM STA,270.4346121516026,20190703-sta-titration,Chemical Titration
0.250uM STA,148.53516361848762,20190703-sta-titration,Chemical Titration
0.250uM STA,150.91623165260452,20190703-sta-titration,Chemical Titration
0.250uM STA,140.0645383574279,20190703-sta-titration,Chemical Titration
0.250uM STA,88.44650226466189,20190703-sta-titration,Chemical Titration
0.250uM STA,199.00463009548923,20190703-sta-titration,Chemical Titration
0.500uM STA,307.6815019304034,20190703-sta-titration,Chemical Titration
0.500uM STA,232.0843073119687,20190703-sta-titration,Chemical Titration
0.500uM STA,232.30364797836287,20190703-sta-titration,Chemical Titration
0.500uM STA,155.83075626200696,20190703-sta-titration,Chemical Titration
0.500uM STA,200.94022106746445,20190703-sta-titration,Chemical Titration
0.500uM STA,173.87294139742298,20190703-sta-titration,Chemical Titration
0.500uM STA,214.75993403911846,20190703-sta-titration,Chemical Titration
0.500uM STA,234.137997424846,20190703-sta-titration,Chemical Titration
0.500uM STA,253.80255130167893,20190703-sta-titration,Chemical Titration
0.500uM STA,349.6446312004396,20190703-sta-titration,Chemical Titration
0.500uM STA,149.56026317811606,20190703-sta-titration,Chemical Titration
0.500uM STA,271.7122039252629,20190703-sta-titration,Chemical Titration
0.500uM STA,193.9762228367527,20190703-sta-titration,Chemical Titration
0.500uM STA,314.0382813878058,20190703-sta-titration,Chemical Titration
0.500uM STA,242.55690648407108,20190703-sta-titration,Chemical Titration
0.500uM STA,206.29289503816673,20190703-sta-titration,Chemical Titration
0.500uM STA,232.5665837138898,20190703-sta-titration,Chemical Titration
0.500uM STA,178.04092705253646,20190703-sta-titration,Chemical Titration
0.500uM STA,317.5861202504616,20190703-sta-titration,Chemical Titration
0.500uM STA,168.45759992667982,20190703-sta-titration,Chemical Titration
0.500uM STA,193.08146951441398,20190703-sta-titration,Chemical Titration
0.500uM STA,180.0887494639631,20190703-sta-titration,Chemical Titration
0.500uM STA,196.11736324803013,20190703-sta-titration,Chemical Titration
0.500uM STA,380.5834082156922,20190703-sta-titration,Chemical Titration
0.500uM STA,355.10793360691133,20190703-sta-titration,Chemical Titration
0.500uM STA,193.92370456779582,20190703-sta-titration,Chemical Titration
0.500uM STA,276.3953195770684,20190703-sta-titration,Chemical Titration
0.500uM STA,237.84990950528598,20190703-sta-titration,Chemical Titration
0.500uM STA,158.35948368539147,20190703-sta-titration,Chemical Titration
0.500uM STA,187.5147547992057,20190703-sta-titration,Chemical Titration
0.500uM STA,234.74626194284298,20190703-sta-titration,Chemical Titration
0.500uM STA,147.29562736988208,20190703-sta-titration,Chemical Titration
0.500uM STA,311.23634839692363,20190703-sta-titration,Chemical Titration
0.500uM STA,234.137997424846,20190703-sta-titration,Chemical Titration
0.500uM STA,249.3079654078299,20190703-sta-titration,Chemical Titration
0.500uM STA,285.60255284908334,20190703-sta-titration,Chemical Titration
0.500uM STA,174.8077488947327,20190703-sta-titration,Chemical Titration
0.500uM STA,224.1359843422528,20190703-sta-titration,Chemical Titration
0.500uM STA,264.57062802087523,20190703-sta-titration,Chemical Titration
0.500uM STA,270.7733848516682,20190703-sta-titration,Chemical Titration
0.500uM STA,233.83327181799183,20190703-sta-titration,Chemical Titration
0.500uM STA,206.1447138421957,20190703-sta-titration,Chemical Titration
0.500uM STA,229.65773425057859,20190703-sta-titration,Chemical Titration
0.500uM STA,276.50585560211385,20190703-sta-titration,Chemical Titration
0.500uM STA,222.21908672075975,20190703-sta-titration,Chemical Titration
0.500uM STA,242.1366030900012,20190703-sta-titration,Chemical Titration
0.500uM STA,216.03673009887027,20190703-sta-titration,Chemical Titration
0.500uM STA,264.91689962288586,20190703-sta-titration,Chemical Titration
0.500uM STA,249.0218038381004,20190703-sta-titration,Chemical Titration
0.500uM STA,270.7733848516682,20190703-sta-titration,Chemical Titration
0.500uM STA,307.7808020788433,20190703-sta-titration,Chemical Titration
0.500uM STA,223.2252289118668,20190703-sta-titration,Chemical Titration
0.500uM STA,230.6314272185301,20190703-sta-titration,Chemical Titration
0.500uM STA,427.23719539997086,20190703-sta-titration,Chemical Titration
0.500uM STA,223.86314676778758,20190703-sta-titration,Chemical Titration
0.500uM STA,214.94956757190647,20190703-sta-titration,Chemical Titration
0.500uM STA,181.55336772999803,20190703-sta-titration,Chemical Titration
0.500uM STA,217.2591457279117,20190703-sta-titration,Chemical Titration
0.500uM STA,232.872966849654,20190703-sta-titration,Chemical Titration
0.500uM STA,239.04600136315625,20190703-sta-titration,Chemical Titration
0.500uM STA,168.8803298257901,20190703-sta-titration,Chemical Titration
0.500uM STA,245.893471853938,20190703-sta-titration,Chemical Titration
0.500uM STA,347.45284669089875,20190703-sta-titration,Chemical Titration
0.500uM STA,164.66605401442044,20190703-sta-titration,Chemical Titration
0.500uM STA,210.54478855934533,20190703-sta-titration,Chemical Titration
0.500uM STA,146.74136151937896,20190703-sta-titration,Chemical Titration
0.500uM STA,129.95479722336995,20190703-sta-titration,Chemical Titration
0.500uM STA,202.60612755359017,20190703-sta-titration,Chemical Titration
