,exp_grp,exp_name,exp_has_peptide,exp_sta_conc,exp_cell_count,exp_rep,xbin,value
93,20190719-co-culture,02.5mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,02.50mT,r2,04,3.4527569574628103
94,20190719-co-culture,02.5mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,02.50mT,r2,05,3.315004703370445
95,20190719-co-culture,02.5mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,02.50mT,r2,06,3.215925535492798
96,20190719-co-culture,02.5mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,02.50mT,r2,07,3.127786137005562
97,20190719-co-culture,02.5mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,02.50mT,r2,08,3.1825936616354427
98,20190719-co-culture,02.5mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,02.50mT,r2,09,3.2946235879738826
99,20190719-co-culture,02.5mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,02.50mT,r3,00,3.810649273486662
100,20190719-co-culture,02.5mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,02.50mT,r3,01,3.67307799110678
101,20190719-co-culture,02.5mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,02.50mT,r3,02,3.532289423870142
102,20190719-co-culture,02.5mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,02.50mT,r3,03,3.5835485973719186
103,20190719-co-culture,02.5mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,02.50mT,r3,04,3.599971837095955
104,20190719-co-culture,02.5mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,02.50mT,r3,05,3.6508651845315043
105,20190719-co-culture,02.5mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,02.50mT,r3,06,3.625497466651474
106,20190719-co-culture,02.5mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,02.50mT,r3,07,3.6632805332755476
107,20190719-co-culture,02.5mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,02.50mT,r3,08,3.4816543171752694
108,20190719-co-culture,05.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,05.00mT,r1,00,3.041766957695791
109,20190719-co-culture,05.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,05.00mT,r1,01,2.9413741419539154
110,20190719-co-culture,05.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,05.00mT,r1,02,2.9453903193977413
111,20190719-co-culture,05.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,05.00mT,r1,03,2.9154099842031065
112,20190719-co-culture,05.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,05.00mT,r1,04,2.8343322603117866
113,20190719-co-culture,05.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,05.00mT,r1,05,2.8740506599781828
114,20190719-co-culture,05.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,05.00mT,r1,06,2.8710534480411214
115,20190719-co-culture,05.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,05.00mT,r1,07,2.834141771563752
116,20190719-co-culture,05.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,05.00mT,r1,08,2.8019977114255825
117,20190719-co-culture,05.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,05.00mT,r2,00,3.3498275138950966
118,20190719-co-culture,05.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,05.00mT,r2,01,3.3206144122920525
119,20190719-co-culture,05.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,05.00mT,r2,02,3.181897963544949
120,20190719-co-culture,05.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,05.00mT,r2,03,3.1459819450343773
121,20190719-co-culture,05.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,05.00mT,r2,04,3.0737715831506454
122,20190719-co-culture,05.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,05.00mT,r2,05,3.04766716868435
123,20190719-co-culture,05.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,05.00mT,r2,06,3.081005460108978
124,20190719-co-culture,05.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,05.00mT,r2,07,3.0655711488462676
125,20190719-co-culture,05.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,05.00mT,r2,08,2.9856289183339157
126,20190719-co-culture,05.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,05.00mT,r3,00,3.289750589727917
127,20190719-co-culture,05.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,05.00mT,r3,01,3.2769562102659817
128,20190719-co-culture,05.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,05.00mT,r3,02,3.265921663000867
129,20190719-co-culture,05.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,05.00mT,r3,03,3.0577533153081498
130,20190719-co-culture,05.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,05.00mT,r3,04,3.099861937247264
131,20190719-co-culture,05.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,05.00mT,r3,05,3.0894579219051095
132,20190719-co-culture,05.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,05.00mT,r3,06,3.0997883910058106
133,20190719-co-culture,05.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,05.00mT,r3,07,3.1252418535287747
134,20190719-co-culture,05.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,05.00mT,r3,08,2.9481901551240526
135,20190719-co-culture,05.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,05.00mT,r3,09,2.762016662479455
136,20190719-co-culture,05.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,05.00mT,r1,00,3.8163337573710883
137,20190719-co-culture,05.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,05.00mT,r1,01,3.691514513775143
138,20190719-co-culture,05.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,05.00mT,r1,02,3.518262043221566
139,20190719-co-culture,05.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,05.00mT,r1,03,3.3338181195874115
140,20190719-co-culture,05.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,05.00mT,r1,04,3.167003383170179
141,20190719-co-culture,05.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,05.00mT,r1,05,3.063846040061882
142,20190719-co-culture,05.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,05.00mT,r1,06,3.0220682676303565
143,20190719-co-culture,05.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,05.00mT,r1,07,2.9619451517319186
144,20190719-co-culture,05.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,05.00mT,r1,08,3.0380187075444454
145,20190719-co-culture,05.0mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,05.00mT,r2,00,3.7963486486879616
146,20190719-co-culture,05.0mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,05.00mT,r2,01,3.8696436548327107
147,20190719-co-culture,05.0mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,05.00mT,r2,02,3.699408179059169
148,20190719-co-culture,05.0mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,05.00mT,r2,03,3.5119259375488494
149,20190719-co-culture,05.0mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,05.00mT,r2,04,3.360027964861744
150,20190719-co-culture,05.0mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,05.00mT,r2,05,3.2697224498047177
151,20190719-co-culture,05.0mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,05.00mT,r2,06,3.2639285323869145
152,20190719-co-culture,05.0mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,05.00mT,r2,07,3.1792266167137835
153,20190719-co-culture,05.0mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,05.00mT,r2,08,3.177357395921903
154,20190719-co-culture,05.0mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,05.00mT,r2,09,3.199338778264781
155,20190719-co-culture,05.0mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,05.00mT,r3,00,3.851772732643011
156,20190719-co-culture,05.0mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,05.00mT,r3,01,3.832937543043394
157,20190719-co-culture,05.0mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,05.00mT,r3,02,3.6503185086029615
158,20190719-co-culture,05.0mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,05.00mT,r3,03,3.5056129499872957
159,20190719-co-culture,05.0mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,05.00mT,r3,04,3.4037943636200834
160,20190719-co-culture,05.0mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,05.00mT,r3,05,3.210956134838077
161,20190719-co-culture,05.0mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,05.00mT,r3,06,3.2121482289487533
162,20190719-co-culture,05.0mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,05.00mT,r3,07,3.2201600377099378
163,20190719-co-culture,05.0mT-wp-0uMsta-XY03-3,w/ Peptide,0.000uM,05.00mT,r3,08,3.2379139733367466
164,20190719-co-culture,05.0mT-wp-0uMsta-XY03-4,w/ Peptide,0.000uM,05.00mT,r4,00,3.67130972215921
165,20190719-co-culture,05.0mT-wp-0uMsta-XY03-4,w/ Peptide,0.000uM,05.00mT,r4,01,3.6312668199110294
166,20190719-co-culture,05.0mT-wp-0uMsta-XY03-4,w/ Peptide,0.000uM,05.00mT,r4,02,3.5255301885949604
167,20190719-co-culture,05.0mT-wp-0uMsta-XY03-4,w/ Peptide,0.000uM,05.00mT,r4,03,3.372016527191217
168,20190719-co-culture,05.0mT-wp-0uMsta-XY03-4,w/ Peptide,0.000uM,05.00mT,r4,04,3.2896555063807256
169,20190719-co-culture,05.0mT-wp-0uMsta-XY03-4,w/ Peptide,0.000uM,05.00mT,r4,05,3.214005755237063
170,20190719-co-culture,05.0mT-wp-0uMsta-XY03-4,w/ Peptide,0.000uM,05.00mT,r4,06,3.30595839548819
171,20190719-co-culture,05.0mT-wp-0uMsta-XY03-4,w/ Peptide,0.000uM,05.00mT,r4,07,3.2613280680982615
172,20190719-co-culture,05.0mT-wp-0uMsta-XY03-4,w/ Peptide,0.000uM,05.00mT,r4,08,3.403096694854027
173,20190719-co-culture,10.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,10.00mT,r1,00,3.5719252822604277
174,20190719-co-culture,10.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,10.00mT,r1,01,3.40554533903956
175,20190719-co-culture,10.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,10.00mT,r1,02,3.3153066702665974
176,20190719-co-culture,10.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,10.00mT,r1,03,3.1818687971582245
177,20190719-co-culture,10.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,10.00mT,r1,04,3.300004952373356
178,20190719-co-culture,10.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,10.00mT,r1,05,3.2904836158678266
179,20190719-co-culture,10.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,10.00mT,r1,06,3.2587122801042647
180,20190719-co-culture,10.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,10.00mT,r1,07,3.2793403900404003
181,20190719-co-culture,10.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,10.00mT,r1,08,3.3638436206195426
182,20190719-co-culture,10.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,10.00mT,r2,02,2.4544013244189102
183,20190719-co-culture,10.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,10.00mT,r2,03,2.5288050743431985
184,20190719-co-culture,10.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,10.00mT,r2,04,2.4423474908243135
185,20190719-co-culture,10.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,10.00mT,r2,05,2.429999107027575
186,20190719-co-culture,10.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,10.00mT,r2,06,2.556119636929145
187,20190719-co-culture,10.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,10.00mT,r2,07,2.702637789864203
188,20190719-co-culture,10.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,10.00mT,r2,08,3.123952308979655
189,20190719-co-culture,10.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,10.00mT,r2,09,3.0742804595703355
190,20190719-co-culture,10.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,10.00mT,r3,00,3.50202155381443
